administrative_division_code,municipality_or_ward_name,secondary_medical_area_code,secondary_medical_area_name,defined_in_plan_flag
40522,大木町,4006,久留米,1
40544,広川町,4007,八女・筑後,1
40601,香春町,4011,田川,1
40602,添田町,4011,田川,1
40604,糸田町,4011,田川,1
40605,川崎町,4011,田川,1
40608,大任町,4011,田川,1
40609,赤村,4011,田川,1
40610,福智町,4011,田川,1
40621,苅田町,4013,京築,1
40625,みやこ町,4013,京築,1
40642,吉富町,4013,京築,1
40646,上毛町,4013,京築,1
40647,築上町,4013,京築,1
41201,佐賀市,4101,中部,1
41202,唐津市,4103,北部,1
41203,鳥栖市,4102,東部,1
41204,多久市,4101,中部,1
41205,伊万里市,4104,西部,1
41206,武雄市,4105,南部,1
41207,鹿島市,4105,南部,1
41208,小城市,4101,中部,1
41209,嬉野市,4105,南部,1
41210,神埼市,4101,中部,1
41327,吉野ヶ里町,4101,中部,1
41341,基山町,4102,東部,1
41345,上峰町,4102,東部,1
41346,みやき町,4102,東部,1
41387,玄海町,4103,北部,1
41401,有田町,4104,西部,1
41423,大町町,4105,南部,1
41424,江北町,4105,南部,1
41425,白石町,4105,南部,1
41441,太良町,4105,南部,1
42201,長崎市,4201,長崎,1
42202,佐世保市,4202,佐世保県北,1
42203,島原市,4204,県南,1
42204,諫早市,4203,県央,1
42205,大村市,4203,県央,1
42207,平戸市,4202,佐世保県北,1
42208,松浦市,4202,佐世保県北,1
42209,対馬市,4209,対馬,1
42210,壱岐市,4208,壱岐,1
42211,五島市,4206,五島,1
42212,西海市,4201,長崎,1
42213,雲仙市,4204,県南,1
42214,南島原市,4204,県南,1
42307,長与町,4201,長崎,1
42308,時津町,4201,長崎,1
42321,東彼杵町,4203,県央,1
42322,川棚町,4203,県央,1
42323,波佐見町,4203,県央,1
42383,小値賀町,4207,上五島,1
42391,佐々町,4202,佐世保県北,1
42411,新上五島町,4207,上五島,1
43101,中央区,4312,熊本・上益城,1
43102,東区,4312,熊本・上益城,1
43103,西区,4312,熊本・上益城,1
43104,南区,4312,熊本・上益城,1
43105,北区,4312,熊本・上益城,1
43202,八代市,4308,八代,1
43203,人吉市,4310,球磨,1
43204,荒尾市,4303,有明,1
43205,水俣市,4309,芦北,1
43206,玉名市,4303,有明,1
43208,山鹿市,4304,鹿本,1
43210,菊池市,4305,菊池,1
43211,宇土市,4302,宇城,1
43212,上天草市,4311,天草,1
43213,宇城市,4302,宇城,1
43214,阿蘇市,4306,阿蘇,1
43215,天草市,4311,天草,1
43216,合志市,4305,菊池,1
